0.51,-0.12019,0.016657,-0.99331,0.016818,-0.0016053,21.841,-0.29806,4.9091,-3.1033,10.462,-0.61117,78.121,0,0,2.7127,0,-0.12909,0
0.52,-0.10597,-0.030275,-1.0229,-0.08187,0.0066544,22.625,-0.29969,4.9388,-3.1101,10.533,-0.61534,78.655,0,0,2.7524,0,-0.13112,0
0.53,-0.063383,-0.055958,-1.0519,-0.1325,0.011212,23.42,-0.30954,4.9644,-3.1146,10.599,-0.61921,79.15,0,0,2.8177,0,-0.13458,0
0.54,-0.017635,-0.044669,-1.0851,-0.10343,0.0090765,24.22,-0.32084,4.9955,-3.1173,10.66,-0.62273,79.6,0,0,2.8686,0,-0.13758,0
0.55,0.0033885,-0.0026187,-1.1189,-0.01142,0.0012345,25.019,-0.32378,5.0232,-3.1182,10.71,-0.62568,79.977,0,0,2.7899,0,-0.13761,0
0.56,-0.013422,0.044677,-1.1484,0.087879,-0.00745,25.822,-0.32577,5.0401,-3.1224,10.756,-0.62835,80.318,0,0,2.8319,0,-0.14016,0
0.57,-0.058189,0.067945,-1.1777,0.13328,-0.011787,26.632,-0.33623,5.0534,-3.1249,10.795,-0.63064,80.61,0,0,2.8598,0,-0.14146,0
0.58,-0.10323,0.05256,-1.2115,0.095643,-0.0087923,27.445,-0.34689,5.0715,-3.1261,10.826,-0.63247,80.845,0,0,2.9105,0,-0.14461,0
0.59,-0.12029,0.0077333,-1.245,-0.0018129,-0.00012274,28.256,-0.34904,5.0879,-3.1266,10.855,-0.63414,81.058,0,0,2.9472,0,-0.14708,0
0.6,-0.098549,-0.038411,-1.2741,-0.098309,0.0087097,29.069,-0.35191,5.092,-3.1259,10.875,-0.63533,81.21,0,0,2.9927,0,-0.15027,0
0.61,-0.051439,-0.056722,-1.304,-0.133,0.012302,29.888,-0.36324,5.0953,-3.1237,10.891,-0.63627,81.33,0,0,2.9968,0,-0.15048,0
0.62,-0.0087658,-0.035578,-1.3382,-0.083407,0.0080498,30.707,-0.37278,5.1061,-3.1207,10.906,-0.63711,81.437,0,0,3.0322,0,-0.15314,0
